"","source","trains","choices","conflicts","constraints","error","mem","memout","models","overall-time","par2","restarts","rules","solving-time","time","timeout","variables"
"19","ds",4,233329.202898551,10408.4057971014,32577703.8405797,0,4413.71014492754,0,1,113.67647826087,114.498405797101,23.4202898550725,19352767.8550725,32.8210144927536,114.498405797101,0,4857987.76811594
"20","ds",5,194084.820895522,10617.7611940299,45787034.2238806,0,6392.92537313433,0,1,155.837835820896,156.972388059702,25.8805970149254,29436417.3432836,30.3767164179104,156.972388059702,0,6047924.82089552
"21","ds",6,117150.163636364,8371.83636363636,52762128.1818182,0,7618.12727272727,0,1,174.7044,175.984,22.4545454545455,36856236.1272727,15.9063636363636,175.984,0,6022929.81818182
"22","ds",7,1036516.42857143,93191.5714285714,60201747.5714286,0,9092.42857142857,0,1,340.527142857143,341.918571428571,185.142857142857,45243079.5714286,152.267142857143,341.918571428571,0,5884220.71428571
"23","dh",2,30120.5857142857,1436.6,19886951.2571429,0,2604.98571428571,0,1,50.0605,50.7647142857143,5.55714285714286,9371445.3,13.6591428571429,50.7647142857143,0,3932518.78571429
"24","dh",3,184793.642857143,3573.87142857143,38352249.8428571,0,5107.41428571429,0,1,119.249828571429,120.348142857143,13.0714285714286,19907260.2285714,39.6347142857143,120.348142857143,0,6851269.6
"25","dh",4,474082.453125,11767.765625,57105396.265625,0,7722.78125,0,1,243.94590625,245.524375,32.46875,32142980.296875,108.83296875,245.524375,0,9278321.265625
"26","dh",5,189210.288888889,6709.15555555556,60506820.8666667,0,8531.88888888889,0,1,194.464688888889,196.179333333333,23.0444444444444,37109356.6444444,41.9797777777778,196.179333333333,0,8809243.66666667
"27","dh",6,337264.763157895,9439.81578947369,74329866.131579,0,10602.0789473684,0,1,255.485815789474,257.678947368421,32.2105263157895,47649539.7894737,57.5560526315789,257.678947368421,0,10026418.3684211
"28","dh",7,667823,17151.5,54124549,0,8226,0,1,225.984,227.345,56,39782648,82.02,227.345,0,5641917
"29","me",2,22715.6142857143,3016.54285714286,5894601,0,834.271428571429,0,1,21.5619428571429,21.828,14.3571428571429,3916734.14285714,7.41928571428571,21.828,0,1015463.02857143
"30","me",3,79746.0285714286,8782.15714285714,11656412.9571429,0,1641.25714285714,0,1,51.7892285714286,52.2897142857143,34.1571428571429,8051826.25714286,20.5347142857143,52.2897142857143,0,1749795.42857143
"31","me",4,270481.014285714,20830.2142857143,18833982.0285714,0,2708.84285714286,0,1,106.5028,107.259285714286,65.4571428571429,13675051.4142857,50.2977142857143,107.259285714286,0,2530988
"32","me",5,729259.357142857,49396.5857142857,26013116.7857143,0,3863.24285714286,0,1,199.343057142857,200.308428571429,141.814285714286,19846604.0857143,114.809714285714,200.308428571429,0,3104847.61428571
"33","me",6,1098182.23188406,64705.768115942,34732397.9130435,0,5189.73913043478,0,1,284.536898550725,285.766811594203,175.797101449275,27344757.826087,164.74347826087,285.766811594203,0,3772270.91304348
"34","me",7,1779886.4,96212.1,45057131.7,0,6900.6,0,1,417.2621,418.799,249.1,36395947.9,250.059,418.799,0,4487331.2
"35","ms",2,2026.25714285714,135.742857142857,2039514.47142857,0,307.8,0,1,5.51208571428571,5.6,0.914285714285714,1136730.55714286,0.289142857142857,5.6,0,379174.428571429
"36","ms",3,14742.9857142857,1415.98571428571,4559727.28571429,0,699.357142857143,0,1,14.9538714285714,15.1408571428571,6.35714285714286,3029737.84285714,1.30357142857143,15.1408571428571,0,644693.557142857
"37","ms",4,48326.6,4888.65714285714,8271300.15714286,0,1278.84285714286,0,1,33.0598571428571,33.363,17.4285714285714,6028459.81428571,5.28842857142857,33.363,0,950721.928571429
"38","ms",5,111425.5,9589.07142857143,12316605.6428571,0,1932.18571428571,0,1,55.4899428571429,55.9225714285714,34.7285714285714,9584840.87142857,11.0185714285714,55.9225714285714,0,1193083.75714286
"39","ms",6,325816.714285714,32606.0571428571,17344854.2428571,0,2776.24285714286,0,1,105.431885714286,105.993571428571,90.5714285714286,14141543.1714286,39.4001428571429,105.993571428571,0,1442887.1
"40","ms",7,677155.111111111,48425.3333333333,21983692.1111111,0,3634,0,1,163.807333333333,164.495555555556,132.222222222222,18886872.7777778,72.4366666666667,164.495555555556,0,1524178.66666667
"41","mh",2,22437.3285714286,2144.82857142857,4919588.15714286,0,937.528571428571,0,1,20.0453857142857,20.5187142857143,9.94285714285714,3371983.91428571,7.44228571428571,20.5187142857143,0,907310.928571429
"42","mh",3,74680.8428571429,6470.4,10067361.0428571,0,1811.9,0,1,50.6201714285714,51.3037142857143,26.5857142857143,7145125.6,22.0505714285714,51.3037142857143,0,1595704.81428571
"43","mh",4,242890.728571429,16522.9285714286,16492004.5428571,0,2888.44285714286,0,1,107.088157142857,108.067857142857,58.4857142857143,12156261.9571429,56.3122857142857,108.067857142857,0,2290298.54285714
"44","mh",5,663741.385714286,43452.3714285714,23066787.7571429,0,4026.91428571429,0,1,210.815057142857,212.054714285714,127.285714285714,17813024.2142857,134.357285714286,212.054714285714,0,2816939.05714286
"45","mh",6,1253380.98529412,78223.3823529412,31342259.1764706,0,5485.79411764706,0,1,357.953544117647,359.477352941176,206.970588235294,24906654.4411765,248.098823529412,359.477352941176,0,3434951.52941176
"46","mh",7,1930007.6,128261.6,40627368.5,0,7022.1,0,1,554.2473,556.009,327.3,32942697.9,404.891,556.009,0,4067438.9
